column,role,dtype,n_unique,pct_missing,missing_count,sample_values,description,expected_values,notes
International plan,categorical,object,2,0.0,0,"No, Yes",,,
State,categorical,object,51,0.0,0,"KS, OH, NJ, OK, AL",,,
Voice mail plan,categorical,object,2,0.0,0,"Yes, No",,,
Account length,numeric,int64,212,0.0,0,"128, 107, 137, 84, 75",,,
Area code,numeric,int64,3,0.0,0,"415, 408, 510",,,
Customer service calls,numeric,float64,10,0.0015,5,"1.0, 0.0, 2.0, 3.0, 4.0",,,
Number vmail messages,numeric,int64,46,0.0,0,"25, 26, 0, 24, 37",,,
Total day calls,numeric,float64,119,0.003,10,"110.0, 123.0, 114.0, 71.0, 113.0",,,
Total day charge,numeric,float64,1661,0.0054,18,"45.07, 27.47, 41.38, 50.9, 28.34",,,
Total day minutes,numeric,float64,1663,0.003,10,"265.1, 161.6, 243.4, 299.4, 166.7",,,
Total eve calls,numeric,float64,123,0.0024,8,"99.0, 103.0, 110.0, 88.0, 122.0",,,
Total eve charge,numeric,float64,1440,0.0,0,"16.78, 16.62, 10.3, 5.26, 12.61",,,
Total eve minutes,numeric,float64,1607,0.0027,9,"197.4, 195.5, 121.2, 61.9, 148.3",,,
Total intl calls,numeric,int64,21,0.0,0,"3, 5, 7, 6, 4",,,
Total intl charge,numeric,float64,162,0.0015,5,"2.7, 3.7, 3.29, 1.78, 2.73",,,
Total intl minutes,numeric,float64,162,0.0,0,"10.0, 13.7, 12.2, 6.6, 10.1",,,
Total night calls,numeric,float64,120,0.0003,1,"91.0, 103.0, 104.0, 89.0, 121.0",,,
Total night charge,numeric,float64,933,0.0,0,"11.01, 11.45, 7.32, 8.86, 8.41",,,
Total night minutes,numeric,float64,1591,0.0,0,"244.7, 254.4, 162.6, 196.9, 186.9",,,
Churn,target,object,2,0.0024,8,"False, True",,,Target variable (Yes/No)
