Unnamed_ 0,tenure,MonthlyCharges,TotalCharges,total_services_eng,gender_Male,SeniorCitizen_Yes,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No_phone_service,MultipleLines_Yes,InternetService_Fiber_optic,InternetService_No,OnlineSecurity_No_internet_service,OnlineSecurity_Yes,OnlineBackup_No_internet_service,OnlineBackup_Yes,DeviceProtection_No_internet_service,DeviceProtection_Yes,TechSupport_No_internet_service,TechSupport_Yes,StreamingTV_No_internet_service,StreamingTV_Yes,StreamingMovies_No_internet_service,StreamingMovies_Yes,Contract_One_year,Contract_Two_year,PaperlessBilling_Yes,PaymentMethod_Credit_card_(automatic),PaymentMethod_Electronic_check,PaymentMethod_Mailed_check,tenure_group_eng_13-24,tenure_group_eng_25-48,tenure_group_eng_49+,tenure_group_eng_7-12,monthly_charges_bin_eng_Low,monthly_charges_bin_eng_Medium,is_month_to_month_eng_Yes,short_tenure_month_to_month_eng_True,has_streaming_eng_Yes
1408,1.3218163049693654,0.9815557839637744,1.6599003993413788,1.269947869207234,True,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
6992,-0.2674102293372549,-0.9715455124063844,-0.5622521877037466,-0.671868444565295,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False
3349,1.4440644999160286,0.8370661472425127,1.756103949661117,0.7844937907641018,False,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
4486,-1.2046463905950056,0.6410916974366633,-0.9083256719398274,-0.1864143661221627,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True
3535,0.6698259319204956,-0.8087870710422046,-0.1015606773215359,-0.671868444565295,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True
349,1.2810669066538112,1.0629350046458643,1.814665498679414,0.7844937907641018,False,True,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
563,-1.041648797332788,-0.0232284713967241,-0.8156380119926696,0.2990397123209695,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True
3252,-0.4304078225994724,0.9367141725675208,-0.0635231383531787,0.2990397123209695,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True,False,True
6539,-0.0636632377594831,-0.3537277553913341,-0.2877929954941682,-0.1864143661221627,True,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False
4957,-1.0823981956483424,-0.5663102094180181,-0.8775396568649181,-0.1864143661221627,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,True,True,True
2984,-1.2861451872261145,-1.5212704521160123,-1.0031887890550195,-1.1573225230084272,True,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,False
934,-1.0823981956483424,0.4667076531178991,-0.8206701300884257,-0.1864143661221627,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False
3876,-0.8379018057550162,0.4916196594491511,-0.5716132458207426,-0.1864143661221627,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False
818,1.158818711707148,1.3735046835754727,1.9554988824160988,1.269947869207234,False,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True
2798,0.4253295420271693,-1.5063232483172613,-0.6691572293450275,-1.1573225230084272,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False
4045,-0.1044126360750375,-0.820412673996789,-0.4961314743844014,-0.671868444565295,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,True
6599,-0.4304078225994724,-0.3271549486379987,-0.4872977998232925,-0.1864143661221627,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False
4191,0.7920741268671586,-1.3933888196155857,-0.4600276751209637,-0.671868444565295,False,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False
6540,-1.2861451872261145,-0.2906173393521624,-0.9869058217670056,-0.671868444565295,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,True,True,True
2324,0.9958211184449304,0.9865381852300248,1.3919016556914172,0.7844937907641018,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
6415,1.607062093178246,-0.3587101566575845,0.7188283924905056,0.2990397123209695,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,True,False,False,False,True,False,False,True,False,False,True
83,0.3845801437116149,1.288803862049216,0.8902500224686418,1.269947869207234,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
3184,-0.715653610808353,-1.501340847051011,-0.8916691412997265,-1.1573225230084272,False,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False
2758,1.2810669066538112,0.5331396700012379,1.2452890271548036,-0.1864143661221627,True,False,True,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
697,0.5883271352893868,0.6626821029237485,0.7542509879942559,-0.1864143661221627,True,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True
1615,-1.2453957889105598,-1.1940927689655694,-0.99195991417759,-1.1573225230084272,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
