,Churn
1408,No
6992,No
3349,No
4486,No
3535,No
349,No
563,No
3252,No
6539,No
4957,Yes
2984,No
934,Yes
3876,No
818,No
2798,No
4045,Yes
6599,Yes
4191,No
6540,Yes
2324,No
6415,Yes
83,No
3184,No
2758,No
697,No
1615,No
100,No
5944,No
539,No
3691,No
6999,Yes
2045,No
3146,No
1871,No
2300,No
889,Yes
2576,No
1029,Yes
2127,No
2442,No
625,No
3616,No
2170,Yes
6287,No
677,No
3000,No
1749,No
5891,Yes
5141,No
4223,Yes
4123,No
6849,Yes
2274,No
3500,No
2612,Yes
1791,No
4251,Yes
332,No
3019,No
5710,No
2275,No
427,No
564,No
1905,No
4463,Yes
6207,No
1630,No
2171,No
841,No
222,No
3532,No
1711,No
6318,No
4899,No
5119,Yes
2315,No
314,Yes
4398,No
1926,No
6059,Yes
2456,No
122,Yes
2359,No
3230,No
5582,Yes
4205,Yes
5350,Yes
3620,No
2721,No
3126,No
2557,No
6776,No
2013,Yes
4172,No
1876,No
5052,No
3218,No
6989,No
6678,No
3114,Yes
5806,Yes
3768,No
3206,No
5832,Yes
712,No
3012,No
4034,No
5922,Yes
7024,No
6807,No
5915,No
5734,No
963,Yes
76,No
4491,Yes
4195,No
6552,No
6537,No
4942,Yes
5969,No
5504,No
2607,No
2581,No
3639,No
2856,Yes
4511,No
6600,Yes
3299,No
2964,No
5894,No
3930,No
1147,No
3872,Yes
587,No
1267,No
5240,No
665,Yes
3628,No
1220,Yes
6291,No
2418,No
327,Yes
5959,Yes
3751,No
6435,Yes
6628,No
5995,No
4910,No
3264,No
4999,No
1976,Yes
2261,No
2804,No
6095,No
4618,No
1198,Yes
956,No
5147,No
5117,Yes
3155,No
1814,No
899,Yes
3324,No
4897,No
6660,No
4905,No
6424,No
6536,Yes
6408,Yes
4919,No
5507,Yes
5534,No
1156,No
5595,No
4097,No
1225,No
6233,No
4526,No
1097,No
1252,No
2389,No
6757,No
1021,No
750,No
3642,No
3419,No
3740,Yes
6795,No
2583,No
1081,Yes
5952,No
470,No
4402,No
5476,No
4648,No
1234,Yes
1242,No
1076,No
486,No
377,Yes
5867,Yes
4129,No
4177,Yes
2398,No
4362,Yes
4829,Yes
646,No
2945,No
2069,Yes
5446,No
4502,No
5834,No
678,No
159,No
2644,No
2601,No
1933,No
3883,Yes
147,Yes
3451,No
5190,Yes
3342,No
148,No
2930,No
2301,No
5626,No
6945,No
2161,No
464,No
5884,No
2735,Yes
4345,No
6188,Yes
4417,No
3485,No
3169,No
893,No
4644,No
4932,No
5599,No
1433,No
5271,No
5793,No
3061,No
1696,Yes
4579,No
3890,No
316,No
1954,No
2723,No
1782,No
3584,No
6725,No
6350,No
1671,No
492,No
6381,No
4592,No
5,Yes
6062,No
826,Yes
1018,No
3672,No
4137,No
394,No
1515,No
2790,Yes
5535,Yes
1797,No
2106,No
2470,No
1962,Yes
663,No
1030,No
4752,No
5818,No
2250,No
4429,No
1123,No
1570,Yes
1355,Yes
1819,No
56,No
857,No
1265,No
5751,No
1403,No
6313,Yes
2027,Yes
6491,No
4837,No
3612,No
2112,No
2615,No
4293,No
559,No
2450,Yes
5661,Yes
1477,No
562,No
3634,Yes
2010,No
1173,No
4989,Yes
6210,Yes
433,Yes
4107,No
1106,No
2136,No
1916,No
330,No
6680,No
5394,No
1912,No
3530,No
1806,No
1404,No
6219,No
792,No
4649,No
2286,Yes
5767,No
5803,Yes
3798,No
6910,No
269,No
1823,No
5247,Yes
3404,Yes
6794,No
1945,Yes
2501,No
6345,No
3309,No
3834,Yes
4637,Yes
5465,No
2255,Yes
297,No
4630,Yes
6490,No
2596,No
364,No
310,No
5546,No
1563,No
1567,Yes
726,No
2220,No
716,No
6286,No
4077,Yes
443,No
2979,No
2714,No
5244,No
273,No
1073,No
5938,Yes
4397,Yes
832,Yes
6670,Yes
343,No
130,No
321,No
4588,No
3960,No
4333,No
2076,No
6533,Yes
3712,No
3260,Yes
1227,No
2584,Yes
2739,No
6979,No
309,No
5701,No
3938,Yes
3549,Yes
6738,Yes
1249,Yes
549,No
1721,No
4482,No
2455,No
5854,Yes
5939,No
1625,No
3144,No
2677,Yes
591,No
5787,No
995,No
3640,No
3993,No
4171,No
3719,Yes
2660,No
1591,No
2271,No
5450,No
853,Yes
498,Yes
3163,No
3629,No
6625,Yes
5571,No
1332,No
5714,No
211,No
294,No
6019,Yes
728,No
4211,No
2426,Yes
5027,No
5415,No
6155,No
3222,No
5484,Yes
5103,Yes
6560,No
4403,No
6268,Yes
1662,No
2090,Yes
2096,Yes
1746,Yes
3952,No
5010,No
1465,No
1645,Yes
2753,No
6225,No
799,Yes
4180,No
957,No
6674,No
3486,No
3501,No
1564,No
251,Yes
6691,No
5251,No
1601,No
4620,No
517,Yes
1804,Yes
2595,No
6931,No
2879,No
6526,Yes
5768,No
2188,No
1251,Yes
4763,Yes
1014,No
4911,No
1542,Yes
1930,No
10,No
4138,No
924,Yes
6294,No
1610,No
4003,No
702,No
6429,Yes
236,No
4738,Yes
6643,No
6626,No
6497,Yes
5029,Yes
4373,Yes
3647,No
611,No
5618,No
1528,Yes
4598,No
6654,No
1419,No
2600,No
6907,Yes
2190,No
1697,Yes
407,No
6326,No
2988,No
81,No
6493,No
774,No
1628,No
4106,No
1901,No
3966,No
1939,Yes
2878,No
1087,No
6671,Yes
1932,No
1681,Yes
3357,No
2168,No
1529,No
6578,No
5977,No
561,No
1498,No
6927,No
1065,Yes
1738,No
4267,No
2709,No
1492,No
2406,No
5233,Yes
2680,No
5780,No
6482,Yes
3484,Yes
3700,No
4108,No
1666,No
3591,No
6964,No
4840,Yes
5816,Yes
243,No
3482,No
2853,No
3569,No
4145,No
1683,No
5823,Yes
4016,No
33,No
1718,No
2490,No
6613,Yes
6762,Yes
837,No
1054,Yes
3198,No
3407,No
3425,Yes
1887,No
5460,No
31,No
198,No
1991,No
1908,No
5154,No
1550,Yes
5520,No
3812,No
3621,No
3104,No
2808,No
2149,No
5877,No
3267,Yes
1008,No
2125,Yes
362,No
281,No
5748,No
1334,Yes
5184,No
3350,Yes
3869,No
5377,No
5304,No
219,No
2316,No
5076,No
1701,No
6727,No
6744,No
155,No
2840,No
1501,No
2319,Yes
4607,No
2954,No
199,No
338,No
358,Yes
2604,Yes
2803,No
5062,Yes
4836,No
720,No
1896,No
5838,No
3475,No
1581,No
2353,No
1495,No
2130,No
5123,Yes
977,No
6120,No
1858,No
5252,No
6684,No
1168,No
1415,No
1829,Yes
5365,Yes
120,No
6549,Yes
5870,No
4931,No
2729,No
1366,Yes
6570,No
4666,No
1635,No
5275,Yes
4817,No
912,No
1269,No
2958,No
2563,No
2673,No
3804,No
3120,No
4317,No
2809,No
2290,Yes
914,No
2632,No
456,No
6035,No
1260,No
1200,No
2483,Yes
50,No
5766,No
4811,Yes
2698,Yes
4658,No
6201,No
6391,No
3023,Yes
2080,Yes
4711,Yes
423,No
5172,No
5967,No
4474,Yes
3524,No
1107,Yes
2972,No
1676,No
2697,No
993,Yes
4756,Yes
1270,No
2478,Yes
1841,No
2640,No
1864,No
5800,No
3141,Yes
1924,No
