column_name,role,notes
customerID,id,Unique customer identifier
Churn,target,Binary target: Yes/No
tenure,numeric,Customer tenure in months
MonthlyCharges,numeric,Monthly bill amount
TotalCharges,numeric,Total bill-to-date
gender,categorical,Self-reported gender
SeniorCitizen,categorical,"0=No, 1=Yes"
Partner,categorical,Marital/partner status
Dependents,categorical,Has dependents?
PhoneService,categorical,Has phone service?
MultipleLines,categorical,Multiple lines indicator
InternetService,categorical,DSL/Fiber/None
OnlineSecurity,categorical,Internet add-on service
OnlineBackup,categorical,Internet add-on service
DeviceProtection,categorical,Internet add-on service
TechSupport,categorical,Customer support service
StreamingTV,categorical,Streaming TV service
StreamingMovies,categorical,Streaming movie service
Contract,categorical,Contract type (Month-to-month/1yr/2yr)
PaperlessBilling,categorical,Paperless billing indicator
PaymentMethod,categorical,Payment method category
tenure_group_eng,categorical,Engineered: Tenure binned into groups (0-6/7-12/13-24/25-48/49+)
total_services_eng,numeric,Engineered: Count of subscribed services per customer
monthly_charges_bin_eng,categorical,Engineered: Monthly charges binned (Low/Medium/High)
is_month_to_month_eng,categorical,Engineered: Binary indicator for month-to-month contract
short_tenure_month_to_month_eng,categorical,Engineered: Short tenure + month-to-month interaction
has_streaming_eng,categorical,Engineered: Binary indicator for having streaming service
