Column Name,Data Type,Unique Values,Expected Values,Description,Notes
customerID,object,7043,['7590-VHVEG' '5575-GNVDE' '3668-QPYBK' '7795-CFOCW' '9237-HQITU'],Unique identifier assigned to each customer.,
gender,object,2,['Female' 'Male'],Gender of the customer (Male or Female).,
SeniorCitizen,int64,2,[0 1],"Indicates if the customer is a senior citizen (0 = No, 1 = Yes).",
Partner,object,2,['Yes' 'No'],Whether the customer has a partner (Yes or No).,
Dependents,object,2,['No' 'Yes'],Whether the customer has dependents (Yes or No).,
tenure,int64,73,[ 1 34  2 45  8],Number of months the customer has stayed with the company.,
PhoneService,object,2,['No' 'Yes'],Whether the customer has a phone service (Yes or No).,
MultipleLines,object,3,['No phone service' 'No' 'Yes'],"Whether the customer has multiple phone lines (Yes, No, or No phone service).",
InternetService,object,3,['DSL' 'Fiber optic' 'No'],"Type of internet service the customer has (DSL, Fiber optic, or None).",
OnlineSecurity,object,3,['No' 'Yes' 'No internet service'],"Whether the customer has online security add-on (Yes, No, or No internet service).",
OnlineBackup,object,3,['Yes' 'No' 'No internet service'],"Whether the customer has online backup add-on (Yes, No, or No internet service).",
DeviceProtection,object,3,['No' 'Yes' 'No internet service'],"Whether the customer has device protection add-on (Yes, No, or No internet service).",
TechSupport,object,3,['No' 'Yes' 'No internet service'],"Whether the customer has technical support add-on (Yes, No, or No internet service).",
StreamingTV,object,3,['No' 'Yes' 'No internet service'],"Whether the customer has streaming TV add-on (Yes, No, or No internet service).",
StreamingMovies,object,3,['No' 'Yes' 'No internet service'],"Whether the customer has streaming movies add-on (Yes, No, or No internet service).",
Contract,object,3,['Month-to-month' 'One year' 'Two year'],"Customer’s contract term (Month-to-month, One year, or Two year).",
PaperlessBilling,object,2,['Yes' 'No'],Whether the customer has paperless billing enabled (Yes or No).,
PaymentMethod,object,4,"['Electronic check' 'Mailed check' 'Bank transfer (automatic)'
 'Credit card (automatic)']","Payment method used by the customer (e.g., Electronic check, Mailed check, Bank transfer, Credit card).",
MonthlyCharges,float64,1585,[29.85 56.95 53.85 42.3  70.7 ],Customer’s monthly service charges in USD.,
TotalCharges,object,6531,['29.85' '1889.5' '108.15' '1840.75' '151.65'],Total amount charged to the customer to date (in USD). May contain missing values for new customers.,Contains missing values for new customers.
Churn,object,2,['No' 'Yes'],"Indicates whether the customer has churned (Yes = Customer left, No = Customer stayed).",Target Value
