column,dtype,n_unique,n_missing,example_values
customerID,object,7032,0,['7590-VHVEG' '5575-GNVDE' '3668-QPYBK' '7795-CFOCW']
gender,category,2,0,"['Female', 'Male']
Categories (2, object): ['Female', 'Male']"
SeniorCitizen,category,2,0,"['No', 'Yes']
Categories (2, object): ['No', 'Yes']"
Partner,category,2,0,"['Yes', 'No']
Categories (2, object): ['No', 'Yes']"
Dependents,category,2,0,"['No', 'Yes']
Categories (2, object): ['No', 'Yes']"
tenure,int64,72,0,[ 1 34  2 45]
PhoneService,category,2,0,"['No', 'Yes']
Categories (2, object): ['No', 'Yes']"
MultipleLines,category,3,0,"['No phone service', 'No', 'Yes']
Categories (3, object): ['No', 'No phone service', 'Yes']"
InternetService,category,3,0,"['DSL', 'Fiber optic', 'No']
Categories (3, object): ['DSL', 'Fiber optic', 'No']"
OnlineSecurity,category,3,0,"['No', 'Yes', 'No internet service']
Categories (3, object): ['No', 'No internet service', 'Yes']"
OnlineBackup,category,3,0,"['Yes', 'No', 'No internet service']
Categories (3, object): ['No', 'No internet service', 'Yes']"
DeviceProtection,category,3,0,"['No', 'Yes', 'No internet service']
Categories (3, object): ['No', 'No internet service', 'Yes']"
TechSupport,category,3,0,"['No', 'Yes', 'No internet service']
Categories (3, object): ['No', 'No internet service', 'Yes']"
StreamingTV,category,3,0,"['No', 'Yes', 'No internet service']
Categories (3, object): ['No', 'No internet service', 'Yes']"
StreamingMovies,category,3,0,"['No', 'Yes', 'No internet service']
Categories (3, object): ['No', 'No internet service', 'Yes']"
Contract,category,3,0,"['Month-to-month', 'One year', 'Two year']
Categories (3, object): ['Month-to-month', 'One year', 'Two year']"
PaperlessBilling,category,2,0,"['Yes', 'No']
Categories (2, object): ['No', 'Yes']"
PaymentMethod,category,4,0,"['Electronic check', 'Mailed check', 'Bank transfer (automatic)', 'Credit card (automatic)']
Categories (4, object): ['Bank transfer (automatic)', 'Credit card (automatic)', 'Electronic check', 'Mailed check']"
MonthlyCharges,float64,1584,0,[29.85 56.95 53.85 42.3 ]
TotalCharges,float64,6530,0,[  29.85 1889.5   108.15 1840.75]
Churn,category,2,0,"['No', 'Yes']
Categories (2, object): ['No', 'Yes']"
tenure_group_eng,category,5,0,"['0-6', '25-48', '7-12', '13-24']
Categories (5, object): ['0-6' < '7-12' < '13-24' < '25-48' < '49+']"
total_services_eng,int64,9,0,[1 3 5 4]
monthly_charges_bin_eng,category,3,0,"['Low', 'Medium', 'High']
Categories (3, object): ['Low' < 'Medium' < 'High']"
is_month_to_month_eng,category,2,0,"['Yes', 'No']
Categories (2, object): ['No', 'Yes']"
short_tenure_month_to_month_eng,category,2,0,"[True, False]
Categories (2, bool): [False, True]"
